Which is the most common region,amazon,2023-08-24 21:50:56
What is the average of kpi value,amazon,2023-08-24 21:51:55
amazon,which is the most common region,2023-08-25 11:49:08
amazon,which is the most common region,2023-08-25 11:51:26
amazon,which is the most common region,2023-08-25 12:14:03
amazon,which is the most common region,2023-08-25 14:12:07
amazon,which is the most common region,2023-08-25 14:32:26
amazon,What is the average of Numerator where lob is ALE,2023-08-28 12:09:13
amazon,What is the work_site_status of the highest Numerator value,2023-08-28 12:10:10
amazon,What is the work site status of the highest Numerator value,2023-08-28 12:10:27
amazon,What is the Month Year which has the highest KPI value where region is SEA,2023-08-28 12:11:20
amazon,What is the average of Numerator where lob is ALE,2023-08-29 07:13:47
amazon,Which company has the highest rank,2023-08-29 13:08:59
amazon,Which company has the highest rank,2023-08-29 13:09:11
amazon,What is the average of Numerator where lob is ALE,2023-08-29 13:09:23
amazon,What is the average of Numerator where lob is ALE,2023-08-29 13:14:36
amazon,What is the average of Numerator where lob is ALE,2023-08-29 14:18:26
amazon,What is the average of Numerator where lob is ALE,2023-08-29 14:20:14
amazon,What is the average of Numerator where lob is ALE,2023-08-29 14:20:25
amazon,Which company has the highest rank,2023-08-29 14:20:43
amazon,Which company has highest number of employees,2023-08-29 14:21:00
amazon,Plot the histogram of revenue growth,2023-08-29 14:21:25
amazon,Show the data where industry is healthcare,2023-08-29 14:21:42
amazon,Which company has the first rank,2023-08-29 14:22:09
amazon,Which company has the first rank,2023-08-29 14:22:43
amazon,Which retailer has the highest profit,2023-08-29 14:22:58
amazon,Which retailer has sold highest number of products,2023-08-29 14:23:24
amazon,What is the average profit,2023-08-29 14:23:41
amazon,What is the total number of units sold,2023-08-29 14:23:56
